source_node_id,target_node_id,edge_type,weight,evidence_id,attributes_json
evidence:ev-00411,source:news,from_source,1.0,ev-00411,"{""evidence_id"": ""ev-00411""}"
evidence:ev-02562,source:news,from_source,1.0,ev-02562,"{""evidence_id"": ""ev-02562""}"
evidence:ev-00405,source:news,from_source,1.0,ev-00405,"{""evidence_id"": ""ev-00405""}"
evidence:ev-00407,source:public_web,from_source,1.0,ev-00407,"{""evidence_id"": ""ev-00407""}"
evidence:ev-00429,source:public_web,from_source,1.0,ev-00429,"{""evidence_id"": ""ev-00429""}"
evidence:ev-00447,source:news,from_source,1.0,ev-00447,"{""evidence_id"": ""ev-00447""}"
evidence:ev-02557,source:news,from_source,1.0,ev-02557,"{""evidence_id"": ""ev-02557""}"
evidence:ev-02561,source:news,from_source,1.0,ev-02561,"{""evidence_id"": ""ev-02561""}"
evidence:ev-00412,source:news,from_source,1.0,ev-00412,"{""evidence_id"": ""ev-00412""}"
evidence:ev-00432,source:official,from_source,1.0,ev-00432,"{""evidence_id"": ""ev-00432""}"
evidence:ev-02550,source:news,from_source,1.0,ev-02550,"{""evidence_id"": ""ev-02550""}"
evidence:ev-00443,source:official,from_source,1.0,ev-00443,"{""evidence_id"": ""ev-00443""}"
evidence:ev-00408,source:public_web,from_source,1.0,ev-00408,"{""evidence_id"": ""ev-00408""}"
evidence:ev-00437,source:news,from_source,1.0,ev-00437,"{""evidence_id"": ""ev-00437""}"
evidence:ev-02560,source:news,from_source,1.0,ev-02560,"{""evidence_id"": ""ev-02560""}"
evidence:ev-02563,source:news,from_source,1.0,ev-02563,"{""evidence_id"": ""ev-02563""}"
evidence:ev-00409,source:public_web,from_source,1.0,ev-00409,"{""evidence_id"": ""ev-00409""}"
evidence:ev-00420,source:public_web,from_source,1.0,ev-00420,"{""evidence_id"": ""ev-00420""}"
evidence:ev-00435,source:public_web,from_source,1.0,ev-00435,"{""evidence_id"": ""ev-00435""}"
evidence:ev-00436,source:public_web,from_source,1.0,ev-00436,"{""evidence_id"": ""ev-00436""}"
evidence:ev-00441,source:news,from_source,1.0,ev-00441,"{""evidence_id"": ""ev-00441""}"
evidence:ev-02548,source:public_web,from_source,1.0,ev-02548,"{""evidence_id"": ""ev-02548""}"
evidence:ev-00451,source:official,from_source,1.0,ev-00451,"{""evidence_id"": ""ev-00451""}"
evidence:ev-00452,source:official,from_source,1.0,ev-00452,"{""evidence_id"": ""ev-00452""}"
evidence:ev-00454,source:official,from_source,1.0,ev-00454,"{""evidence_id"": ""ev-00454""}"
evidence:ev-00467,source:official,from_source,1.0,ev-00467,"{""evidence_id"": ""ev-00467""}"
evidence:ev-00469,source:official,from_source,1.0,ev-00469,"{""evidence_id"": ""ev-00469""}"
evidence:ev-00471,source:official,from_source,1.0,ev-00471,"{""evidence_id"": ""ev-00471""}"
evidence:ev-00477,source:official,from_source,1.0,ev-00477,"{""evidence_id"": ""ev-00477""}"
